,Algorithm,b,k,Recall,MAP,nDCG,P@5
72,bm25,0.3,0.6,0.047918775907849244,0.33272,0.51715,0.67167
73,bm25,0.3,0.8,0.04785191694206193,0.33185,0.51751,0.67127
74,bm25,0.3,1.0,0.047574929798085926,0.32933,0.51575,0.66707
75,bm25,0.3,1.2,0.04741255802403102,0.32709,0.51508,0.66266
76,bm25,0.3,1.4,0.047173776003362054,0.3249,0.51372,0.65766
77,bm25,0.3,1.6,0.04691589142103956,0.32206,0.51106,0.65385
78,bm25,0.3,1.8,0.04665800683871707,0.31902,0.50911,0.64945
79,bm25,0.3,2.0,0.04631416072895375,0.31593,0.50652,0.64525
80,bm25,0.3,2.2,0.046151788954898854,0.31433,0.50516,0.64264
81,bm25,0.3,2.4,0.04591300693422988,0.31193,0.50302,0.63884
82,bm25,0.3,2.6,0.045616917228600354,0.30968,0.50119,0.63504
83,bm25,0.3,2.8,0.045435442892891933,0.30765,0.49963,0.63183
84,bm25,0.3,3.0,0.04521576343387648,0.30565,0.49825,0.62903
85,bm25,0.3,4.0,0.043945443083917554,0.29494,0.48949,0.61822
86,bm25,0.3,4.5,0.04348698160423313,0.29052,0.48443,0.61201
87,bm25,0.3,5.0,0.04294255859710787,0.28591,0.48026,0.60641
88,bm25,0.3,5.5,0.04253185352155724,0.28223,0.47677,0.5996
89,bm25,0.3,6.0,0.042044738199392535,0.27768,0.47286,0.59359
90,bm25,0.3,6.5,0.04162448184301515,0.27434,0.46964,0.59019
91,bm25,0.3,7.0,0.04130928957573211,0.27182,0.46702,0.58819
92,bm25,0.4,0.0,0.015730959521671858,0.09146,0.16014,0.2014
93,bm25,0.4,0.2,0.047871019503715445,0.33219,0.51501,0.67007
94,bm25,0.4,0.4,0.04790922462702248,0.33237,0.51572,0.67067
95,bm25,0.4,0.6,0.04793787846950276,0.33276,0.51719,0.67147
96,bm25,0.4,0.8,0.04784236566123517,0.3318,0.51746,0.67127
97,bm25,0.4,1.0,0.04758448107891268,0.32941,0.51564,0.66727
98,bm25,0.4,1.2,0.0474412118665113,0.32727,0.51516,0.66246
99,bm25,0.4,1.4,0.047211981126669085,0.32513,0.51391,0.65786
100,bm25,0.4,1.6,0.046954096544346596,0.322,0.51102,0.65365
101,bm25,0.4,1.8,0.046638904277063555,0.31886,0.5088,0.64905
102,bm25,0.4,2.0,0.04631416072895375,0.31594,0.50638,0.64525
103,bm25,0.4,2.2,0.04614223767407209,0.31426,0.50505,0.64244
104,bm25,0.4,2.4,0.04590345565340312,0.31201,0.50289,0.63924
105,bm25,0.4,2.6,0.045626468509427115,0.30973,0.50106,0.63504
106,bm25,0.4,2.8,0.045435442892891933,0.30763,0.4995,0.63123
107,bm25,0.4,3.0,0.045225314714703244,0.30579,0.49821,0.62923
108,bm25,0.4,4.0,0.04396454564557107,0.29505,0.48939,0.61822
109,bm25,0.4,4.5,0.04347743032340637,0.29047,0.48437,0.61221
110,bm25,0.4,5.0,0.04296166115876139,0.28606,0.48016,0.60661
111,bm25,0.4,5.5,0.04255095608321076,0.28234,0.4767,0.6
112,bm25,0.4,6.0,0.042044738199392535,0.2778,0.47281,0.59399
113,bm25,0.4,6.5,0.041662686966322186,0.27455,0.46978,0.59079
114,bm25,0.4,7.0,0.04133794341821238,0.27209,0.46704,0.58839
115,bm25,0.5,0.0,0.015730959521671858,0.09146,0.16014,0.2014
116,bm25,0.5,0.2,0.047871019503715445,0.33228,0.51484,0.67087
117,bm25,0.5,0.4,0.04789967334619572,0.33235,0.51563,0.67107
118,bm25,0.5,0.6,0.04793787846950276,0.33283,0.51716,0.67207
119,bm25,0.5,0.8,0.04785191694206193,0.33196,0.51748,0.67227
